File,run,growthtime,filamentpower,flux_ratio,subcfwhm,sublfwhm,subrfwhm,submean_width,subwidth_variance,subcurve_variance,Substrate_quality,EDS_ratio,RHEED_Quality_Film
10.3_central_300-600.csv,10,420,4.0994,0.46728972,45.34,46.53,39.62,53.87,523.37,0.039,74.54376448104394,3.04,38.0
11.3_central_300-600.csv,11,640,4.4304,0.46728972,45.46,39.43,38.67,46.67,290.51,0.0513,78.96990677249146,2.48,67.33
13.3_central_300-600.csv,13,570,4.9284,0.584795322,45.3,44.46,45.52,52.58,360.63,0.0645,69.48273250420661,1.494,58.61
14.3_central_300-600.csv,14,570,5.413968,0.578034682,43.28,43.31,35.5,53.12,617.18,0.0438,78.08283531393835,1.515,83.47
15.3_central_300-600.csv,15,660,5.4044,1.142857143,41.49,33.99,32.12,40.06,140.89,0.0388,92.03039042849028,2.61,61.3
16.3_central_300-600.csv,16,630,5.4044,1.291989664,42.79,38.68,37.69,48.43,280.01,0.0415,82.495535493809,3.34,61.08
17.3_central_300-600.csv,17,600,4.2228,1.265822785,45.51,37.77,41.14,45.3,119.44,0.0458,80.56603510697946,3.06,45.83
18.3_central_300-600.csv,18,600,4.6656,1.265822785,36.2,35.37,38.96,48.24,324.39,0.0394,88.99323842427773,3.08,69.26
19.3_central_300-600.csv,19,600,3.3088,1.265822785,53.14,42.23,43.5,49.61,208.39,0.0391,71.09791644181418,5.06,36.6
20.3_central_300-600.csv,20,500,3.3453,0.787401575,50.29,43.44,48.98,54.02,311.61,0.0464,67.44729396708516,3.5,42.64
21.3_central_300-600.csv,21,450,3.145,0.694444444,54.9,51.26,46.07,53.92,220.18,0.0412,62.92266245586373,2.74,47.19
23.3_central_300-600.csv,23,480,3.1977,0.740740741,56.32,38.95,38.8,49.62,270.23,0.0365,71.65899527105898,4.0,38.75
24.3_central_300-600.csv,24,460,3.3304,0.555555556,61.54,43.88,43.4,67.29,856.5,0.1255,37.94279830750398,1.74,87.61
25.3_central_300-600.csv,25,210,3.401,1.105,53.57,41.11,38.75,67.73,1515.32,0.0708,56.606545118401286,3.65,65.54
26.3_central_300-600.csv,26,210,3.402,0.78125,39.43,35.07,35.36,44.78,89.75,0.0408,89.29762633940801,3.06,61.43
28.3_central_300-600.csv,28,210,3.5046,0.78125,51.49,40.93,39.71,53.89,378.32,0.0396,71.53898911832444,2.86,73.88
31.3_central_300-600.csv,31,420,3.2568,0.757575758,48.17,36.04,36.73,46.27,262.77,0.0446,80.10176660134343,3.497903680041164,31.57
